author|Halfmann, Tissier; Zillich
title|Die Vorgärten der Semiramis und Wolfsburg
in|Konzept 2
year|1972
pages|129
tag|vermittlung + technik + methode + ideologie + sinn + bindeglied + glied + bindung + dynamik + ökonomie + funktion + system + sicherung + versuch
quote|(Intermediate Technology) ... im Sinne eines Bindegliedes, dass die Dynamik und das ökonomische Funktionieren des Systems zu sichern versucht.
image|
dateAdded|20190117_0835
